@relation BARRANQUILLA

@attribute Cod_Div numeric
@attribute Latitud numeric
@attribute Longitud numeric
@attribute Regi�n string
@attribute Departamento {Atl�ntico}
@attribute Fecha {2021-11-16,2021-11-17,2021-11-18,2021-11-19}
@attribute Hora {12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00}
@attribute Temperatura numeric
@attribute 'Velocidad del Viento' numeric
@attribute 'Direcci�n del Viento' numeric
@attribute Presi�n numeric
@attribute 'Punto de Roc�o' numeric
@attribute 'Cobertura total nubosa' numeric
@attribute 'Precipitaci�n (mm/h)' numeric
@attribute 'Probabilidad de Tormenta' numeric
@attribute Humedad numeric
@attribute 'Pron�stico ' {'Parcialmente Nublado',Despejado,Nublado,'Nublado - Lluvia','Nublado - Llovizna','Parcialmente Nublado - Lluvia Fuerte','Parcialmente Nublado - Llovizna'}

@data
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,12:00,29.9,2.9,30.4,1009.6,23.5,70.6,0,0,69,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,13:00,29.9,3.7,30,1008.6,23.5,60.6,0,0,68.8,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,14:00,29.8,4.5,30.9,1007.6,23.5,59.9,0,0,69,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,15:00,29.7,5.2,30.9,1006.8,23.2,58.4,0,0,68,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,16:00,29.4,5.9,30.9,1006.7,23.1,58.4,0,0,68.9,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,17:00,28.8,6.2,30,1007,24.5,58.5,0,0,77.3,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,18:00,27.9,6.6,40,1007.5,24.2,50,0,0,80.5,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,19:00,27.6,7,40,1008.1,24.2,59.5,0,0,82,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,20:00,27.5,7.1,40,1008.3,23.9,41,0,0,80.6,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,21:00,27.4,7.1,50,1008.7,24,31,0,0,81.4,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,22:00,27.5,6.8,50,1008.6,23.9,21,0,0,80.9,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-16,23:00,27.5,6.1,51,1008.6,24.1,20,0,0,81.7,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,00:00,27.5,5.4,59.5,1008.4,24.4,20,0,0,83.6,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,01:00,27.3,4.7,79,1008,24.4,20,0,0,84.4,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,02:00,27.1,4,80,1007.9,24.2,10,0,0,84.2,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,03:00,26.9,3.6,90,1007.8,24,39.9,0,0,84.1,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,04:00,26.8,3.4,88.5,1008.2,24.2,49,0,0,85.9,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,05:00,26.7,2.9,80,1008.9,24.7,48.5,0,0,88.6,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,06:00,26.7,2.5,80,1009.7,24.9,39,0,0,90.1,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,07:00,26.9,2.4,90,1010.7,24.3,38.5,0,0,85.9,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,08:00,27.5,2.7,80.5,1011.3,23.3,50,0,0,77.9,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,09:00,28.3,2.6,79,1011.8,22.4,50,0,0,70.5,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,10:00,28.9,2.2,60,1011.6,21.8,50,0,0,65.8,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,11:00,29.5,3,30,1011,22.3,50,0,0,65.3,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,12:00,29.9,4.1,20.9,1010.1,23.2,50,0,0,67.6,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,13:00,29.8,5.2,21,1009.2,22.5,39.1,0,0,64.7,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,14:00,29.3,6.3,29.5,1008.3,22.4,60.5,0,0,66.5,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,15:00,28.8,6.7,40,1007.9,22.3,60.5,0,0,68.2,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,16:00,28.5,7.6,30.9,1007.9,22,60.5,0,0,67.8,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,17:00,28.1,7.7,30,1008.1,23.6,60.5,0,0,76.5,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,18:00,27.5,7.7,30,1008.6,24.5,50,0,0,83.9,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,19:00,27.3,7.7,40,1009.1,24.4,39.1,0,0,84.1,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,20:00,27.3,7.6,50,1009.8,24.4,10,0,0,84.1,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,21:00,27.3,7.8,50,1010.2,24.1,10,0,0,83.2,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,22:00,27.2,7.5,50,1010.2,24,10,0,0,82.6,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-17,23:00,27,7,50,1010.4,23.8,10,0,0,82.6,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,00:00,26.9,6.3,60,1010.1,23.7,19.4,0,0,82.6,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,01:00,26.8,5.6,60,1009.6,23.8,20,0,0,83.5,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,02:00,26.8,5.1,70,1009.2,24.2,29.4,0,0,85.7,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,03:00,26.7,4.4,80,1009.1,24.5,20,0,0,87.8,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,04:00,26.6,3.5,90,1009.5,24.7,20,0,0,89.3,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,05:00,26.4,3,99.1,1010.1,24.7,20,0,0,90.7,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,06:00,26,2.7,100,1011,24.7,20,0,0,92.2,Despejado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,07:00,26,2.5,119,1011.8,23.9,60,0,0,88,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,08:00,26.9,2.1,129,1012.4,23,49.5,0,0,79.4,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,09:00,28.2,1.4,119.1,1012.7,22.4,70,0,0,71.1,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,10:00,29.4,1.2,58.5,1012.4,21.8,60.9,0,0,63.8,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,11:00,30.4,2.6,29,1011.6,21.7,59.4,0,0,60.1,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,12:00,30.7,4.3,29,1010.6,22.4,60,0,0,61.2,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,13:00,30.5,5.4,20.9,1009.5,22.8,69.4,0,0,63.9,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,14:00,29.5,5.8,30,1008.6,22.4,90,0,0,65.6,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,15:00,29.1,6.1,30,1008.2,22.6,90,0,0,68,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,16:00,28.7,6.2,30,1008.3,23,70,0,0,71.3,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,17:00,28,5.6,30,1008.2,23.6,90,0,0,76.7,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,18:00,27.3,6.3,30,1008.5,24.4,90,0,0,84.1,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,19:00,27.1,6.9,30.9,1009.2,24.2,90,0,0,84.1,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,20:00,26.6,7,40,1009.8,23.8,40.4,0,0,85.1,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,21:00,26.6,6.7,41,1010.1,23.8,30.4,0,0,84.5,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,22:00,26.5,6.2,41,1010.1,23.8,40.4,0,0,85,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-18,23:00,26.4,5.6,51,1009.9,23.7,49.5,0,0,85.4,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,00:00,26.2,4.6,61,1009.6,23.5,50.9,0,0,85.1,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,01:00,26,3.7,70,1009.1,23.3,59.5,0,0,85,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,02:00,25.5,3.8,80,1008.8,23,100,0,0,86.4,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,03:00,25.2,3.8,80,1008.8,22.8,100,0,0,86.7,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,04:00,25,3.5,80.5,1009.1,22.7,100,0,0,87.3,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,05:00,24.8,3.2,90,1009.7,22.6,100,0,0,87.8,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,06:00,24.3,2.8,100,1010.6,22.5,100,0,0,89.7,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,07:00,24.9,2.6,110.5,1011.4,22.6,100,0,0,87.5,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,08:00,26.2,2.5,120.5,1011.9,22.6,90,0,0,80.7,Nublado
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,09:00,27.9,2.3,119.1,1012.2,22.2,60,0,0,71,'Parcialmente Nublado'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,10:00,27.9,1.9,99,1012.2,22.7,100,0.7,0,73.6,'Nublado - Lluvia'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,11:00,29.7,2,40,1011.4,21.8,100,0.5,0,62.6,'Nublado - Lluvia'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,12:00,30.4,3.7,11,1010.4,21.5,100,0.5,0,58.8,'Nublado - Lluvia'
8001000,10.97832,-74.813217,?,Atl�ntico,2021-11-19,13:00,29.5,4.1,11,1009.5,22.3,100,0.3,0,65.2,'Nublado - Llovizna'
