@relation datos

@attribute x NUMERIC
@attribute y NUMERIC

@data
29.9, 69.0
29.9, 68.8
29.8, 69.0
29.7, 68.0
29.4, 68.9
28.8, 77.3
27.9, 80.5
27.6, 82.0
27.5, 80.6
27.4, 81.4
27.5, 80.9
27.5, 81.7
27.5, 83.6
27.3, 84.4
27.1, 84.2
26.9, 84.1
26.8, 85.9
26.7, 88.6
26.7, 90.1
26.9, 85.9
27.5, 77.9
28.3, 70.5
28.9, 65.8
29.5, 65.3
29.9, 67.6
29.8, 64.7
29.3, 66.5
28.8, 68.2
28.5, 67.8
28.1, 76.5
27.5, 83.9
27.3, 84.1
27.3, 84.1
27.3, 83.2
27.2, 82.6
27.0, 82.6
26.9, 82.6
26.8, 83.5
26.8, 85.7
26.7, 87.8
26.6, 89.3
26.4, 90.7
26.0, 92.2
26.0, 88.0
26.9, 79.4
28.2, 71.1
29.4, 63.8
30.4, 60.1
30.7, 61.2
30.5, 63.9
29.5, 65.6
29.1, 68.0
28.7, 71.3
28.0, 76.7
27.3, 84.1
27.1, 84.1
26.6, 85.1
26.6, 84.5
26.5, 85.0
26.4, 85.4
26.2, 85.1
26.0, 85.0
25.5, 86.4
25.2, 86.7
25.0, 87.3
24.8, 87.8
24.3, 89.7
24.9, 87.5
26.2, 80.7
27.9, 71.0
27.9, 73.6
29.7, 62.6
30.4, 58.8
29.5, 65.2
27.9, 74.5
27.4, 76.6
27.0, 79.9
26.3, 83.3
26.1, 83.4
26.0, 84.7
