@relation datos

@attribute x NUMERIC
@attribute y NUMERIC

@data
29.9, 2.9
29.9, 3.7
29.8, 4.5
29.7, 5.2
29.4, 5.9
28.8, 6.2
27.9, 6.6
27.6, 7.0
27.5, 7.1
27.4, 7.1
27.5, 6.8
27.5, 6.1
27.5, 5.4
27.3, 4.7
27.1, 4.0
26.9, 3.6
26.8, 3.4
26.7, 2.9
26.7, 2.5
26.9, 2.4
27.5, 2.7
28.3, 2.6
28.9, 2.2
29.5, 3.0
29.9, 4.1
29.8, 5.2
29.3, 6.3
28.8, 6.7
28.5, 7.6
28.1, 7.7
27.5, 7.7
27.3, 7.7
27.3, 7.6
27.3, 7.8
27.2, 7.5
27.0, 7.0
26.9, 6.3
26.8, 5.6
26.8, 5.1
26.7, 4.4
26.6, 3.5
26.4, 3.0
26.0, 2.7
26.0, 2.5
26.9, 2.1
28.2, 1.4
29.4, 1.2
30.4, 2.6
30.7, 4.3
30.5, 5.4
29.5, 5.8
29.1, 6.1
28.7, 6.2
28.0, 5.6
27.3, 6.3
27.1, 6.9
26.6, 7.0
26.6, 6.7
26.5, 6.2
26.4, 5.6
26.2, 4.6
26.0, 3.7
25.5, 3.8
25.2, 3.8
25.0, 3.5
24.8, 3.2
24.3, 2.8
24.9, 2.6
26.2, 2.5
27.9, 2.3
27.9, 1.9
29.7, 2.0
30.4, 3.7
29.5, 4.1
27.9, 4.0
27.4, 4.1
27.0, 3.9
26.3, 3.3
26.1, 3.1
26.0, 3.4
